"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.418214125E0,2.204783261E-1,7.266243100E-1,2.852280810E-2
3.438298125E0,1.106557131E0,1.512510777E-1,1.817282438E-1
3.458381500E0,1.256131649E0,-3.869907558E-1,2.024042457E-1
3.478465500E0,9.381164312E-1,-6.154385805E-1,1.625635624E-1
3.498549500E0,5.182642937E-1,-4.713263512E-1,-3.821801394E-2
3.518633500E0,1.752305925E-1,-1.137164459E-1,-3.652607203E-1
3.538716500E0,2.996150032E-2,2.468989938E-1,-6.853572726E-1
3.558800500E0,1.578169465E-1,3.910121620E-1,-8.306714296E-1
3.578884500E0,4.039256871E-1,3.707695603E-1,-7.711024880E-1
3.598968500E0,6.228819489E-1,2.272076607E-1,-5.726702213E-1
3.619052500E0,7.078046799E-1,-3.787994385E-2,-4.018935263E-1
3.639136500E0,5.649514198E-1,-2.060537189E-1,-3.351837397E-1
3.659220500E0,2.911884487E-1,-1.905189902E-1,-3.682134449E-1
3.679304500E0,-2.116042189E-3,-1.136230677E-1,-4.550461471E-1
3.699388500E0,-2.438583374E-1,-3.094251081E-2,-4.636469781E-1
3.719472500E0,-3.614513874E-1,-1.251384243E-2,-4.525874257E-1
3.739556500E0,-3.251821995E-1,7.542765141E-2,-4.460147023E-1
3.759640500E0,-9.628835320E-2,1.938018054E-1,-3.610850275E-1
3.779724500E0,2.127446830E-1,1.411077976E-1,-1.906909794E-1
3.799808500E0,3.287461698E-1,-1.022020206E-1,-5.056793243E-2
3.819891500E0,1.558581144E-1,-1.894507110E-1,-4.916352034E-2
3.839975500E0,3.426000103E-2,7.127287239E-2,-1.268642694E-1
3.860059500E0,-2.047005109E-4,2.414862514E-1,-2.235583067E-1
3.880143500E0,-2.161346078E-1,2.067715079E-1,-2.550751567E-1
3.900227500E0,-5.013144612E-1,4.507359862E-2,-2.371851206E-1
3.920311500E0,-6.121278405E-1,7.032224536E-2,-1.685377806E-1
3.940395500E0,-2.985223532E-1,4.711591601E-1,-2.329718322E-2
