"Time (s)","Pressure (hPa)"
1.567284584E2,1.017493652E3
1.568084584E2,1.017500000E3
1.568884584E2,1.017471191E3
1.569684772E2,1.017460938E3
1.570484584E2,1.017458984E3
1.571284584E2,1.017469238E3
1.572084584E2,1.017471680E3
1.572884584E2,1.017488770E3
1.573684772E2,1.017493164E3
1.574484584E2,1.017497559E3
1.575284584E2,1.017480957E3
1.576084584E2,1.017452637E3
1.576884584E2,1.017455078E3
1.577684772E2,1.017479004E3
1.578484584E2,1.017488281E3
1.579284694E2,1.017462891E3
1.580084584E2,1.017458984E3
1.580884584E2,1.017451660E3
1.581684772E2,1.017457031E3
1.582484600E2,1.017461914E3
1.583284584E2,1.017490723E3
1.584084584E2,1.017469238E3
1.584884584E2,1.017489258E3
1.585684772E2,1.017481934E3
1.586484584E2,1.017465820E3
1.587284584E2,1.017460449E3
1.588084584E2,1.017489258E3
1.588884584E2,1.017504395E3
1.589684772E2,1.017483398E3
1.590484584E2,1.017472656E3
1.591284584E2,1.017456543E3
1.592084584E2,1.017458496E3
1.592884584E2,1.017465332E3
1.593684772E2,1.017472168E3
1.594484584E2,1.017477051E3
1.595284584E2,1.017489746E3
1.596084584E2,1.017473633E3
1.596884584E2,1.017470215E3
1.597684772E2,1.017459961E3
1.598484584E2,1.017479004E3
1.599284678E2,1.017507324E3
1.600084584E2,1.017498535E3
1.600884584E2,1.017473145E3
1.601684772E2,1.017468262E3
1.602484584E2,1.017461914E3
1.603284584E2,1.017468262E3
1.604084584E2,1.017476562E3
1.604884584E2,1.017498047E3
1.605684788E2,1.017498047E3
1.606484584E2,1.017503906E3
1.607284584E2,1.017498535E3
1.608084584E2,1.017474609E3
1.608884600E2,1.017462891E3
1.609684772E2,1.017475098E3
1.610484584E2,1.017503906E3
1.611284600E2,1.017511230E3
1.612084600E2,1.017482422E3
1.612884584E2,1.017478516E3
1.613684772E2,1.017476074E3
1.614484584E2,1.017476562E3
1.615284584E2,1.017484375E3
1.616084584E2,1.017508301E3
1.616884584E2,1.017506836E3
1.617684772E2,1.017508301E3
1.618484584E2,1.017485840E3
1.619284678E2,1.017471191E3
1.620084584E2,1.017461426E3
1.620884584E2,1.017478027E3
1.621684772E2,1.017506836E3
1.622484584E2,1.017505371E3
1.623284584E2,1.017476562E3
1.624084584E2,1.017471680E3
1.624884584E2,1.017474609E3
1.625684788E2,1.017469727E3
1.626484584E2,1.017470703E3
1.627284584E2,1.017487305E3
1.628084584E2,1.017479492E3
1.628884584E2,1.017492676E3
1.629684788E2,1.017480469E3
1.630484584E2,1.017464355E3
1.631284600E2,1.017460938E3
1.632084584E2,1.017486328E3
1.632884584E2,1.017513672E3
1.633684788E2,1.017496582E3
1.634484584E2,1.017490723E3
1.635284584E2,1.017482422E3
1.636084584E2,1.017481934E3
1.636884584E2,1.017474609E3
1.637684788E2,1.017488281E3
1.638484584E2,1.017497559E3
1.639284694E2,1.017503418E3
1.640084584E2,1.017505371E3
1.640884584E2,1.017490234E3
1.641684772E2,1.017479980E3
1.642484584E2,1.017467285E3
1.643284584E2,1.017483398E3
1.644084584E2,1.017489258E3
1.644884584E2,1.017468262E3
1.645684788E2,1.017472656E3
1.646484584E2,1.017480469E3
1.647284584E2,1.017466797E3
1.648084631E2,1.017461914E3
1.648884584E2,1.017479004E3
1.649684772E2,1.017496094E3
1.650484584E2,1.017501465E3
1.651284584E2,1.017510742E3
1.652084584E2,1.017495605E3
1.652884584E2,1.017474609E3
1.653684772E2,1.017472168E3
1.654484584E2,1.017500977E3
1.655284584E2,1.017505859E3
1.656084584E2,1.017494629E3
1.656884584E2,1.017488770E3
1.657684772E2,1.017483887E3
1.658484584E2,1.017479492E3
1.659284678E2,1.017492188E3
1.660084584E2,1.017491211E3
1.660884584E2,1.017507812E3
1.661684772E2,1.017501953E3
1.662484584E2,1.017491699E3
1.663284584E2,1.017490234E3
1.664084584E2,1.017467285E3
1.664884584E2,1.017458496E3
1.665684772E2,1.017478027E3
1.666484584E2,1.017486328E3
1.667284584E2,1.017497559E3
1.668084584E2,1.017490723E3
1.668884584E2,1.017480957E3
1.669684772E2,1.017472168E3
1.670484584E2,1.017479980E3
1.671284600E2,1.017483398E3
1.672084584E2,1.017500488E3
1.672884584E2,1.017496094E3
1.673684772E2,1.017498535E3
1.674484584E2,1.017481934E3
1.675284584E2,1.017474609E3
1.676084584E2,1.017470703E3
1.676884584E2,1.017490723E3
1.677684772E2,1.017505371E3
1.678484584E2,1.017509277E3
1.679284678E2,1.017492188E3
1.680084584E2,1.017482422E3
1.680884584E2,1.017477051E3
1.681684772E2,1.017492676E3
1.682484584E2,1.017506348E3
1.683284584E2,1.017504395E3
1.684084584E2,1.017504395E3
1.684884600E2,1.017498047E3
1.685684788E2,1.017477539E3
1.686484600E2,1.017474121E3
1.687284584E2,1.017486816E3
1.688084584E2,1.017507812E3
1.688884584E2,1.017515625E3
1.689684772E2,1.017507324E3
1.690484584E2,1.017494629E3
1.691284600E2,1.017479980E3
1.692084584E2,1.017479980E3
1.692884584E2,1.017483887E3
1.693684772E2,1.017501953E3
1.694484584E2,1.017509277E3
1.695284584E2,1.017520996E3
1.696084584E2,1.017517090E3
1.696884584E2,1.017503418E3
1.697684772E2,1.017490234E3
1.698484584E2,1.017476562E3
1.699284678E2,1.017505371E3
1.700084584E2,1.017499023E3
1.700884584E2,1.017478027E3
1.701684772E2,1.017467285E3
1.702484584E2,1.017463867E3
1.703284584E2,1.017456055E3
1.704084584E2,1.017479980E3
1.704884584E2,1.017490723E3
1.705684772E2,1.017488281E3
1.706484584E2,1.017479980E3
1.707284584E2,1.017481445E3
1.708084584E2,1.017474609E3
1.708884600E2,1.017479980E3
1.709684772E2,1.017499023E3
1.710484584E2,1.017524414E3
1.711284584E2,1.017524902E3
1.712084584E2,1.017496582E3
1.712884584E2,1.017484863E3
1.713684788E2,1.017494629E3
1.714484584E2,1.017494629E3
1.715284600E2,1.017501465E3
1.716084600E2,1.017517578E3
1.716884584E2,1.017525879E3
1.717684772E2,1.017509766E3
1.718484600E2,1.017489258E3
1.719284678E2,1.017489258E3
1.720084584E2,1.017489258E3
1.720884584E2,1.017491699E3
1.721684772E2,1.017502441E3
1.722484584E2,1.017509277E3
1.723284584E2,1.017509277E3
1.724084584E2,1.017491699E3
1.724884584E2,1.017480469E3
1.725684772E2,1.017479492E3
1.726484584E2,1.017492676E3
1.727284584E2,1.017516602E3
1.728084584E2,1.017505371E3
1.728884584E2,1.017503906E3
1.729684772E2,1.017500000E3
1.730484584E2,1.017497070E3
1.731284584E2,1.017495605E3
1.732084584E2,1.017507812E3
1.732884584E2,1.017507812E3
1.733684772E2,1.017513672E3
1.734484584E2,1.017503418E3
1.735284584E2,1.017483398E3
1.736084600E2,1.017479492E3
1.736884600E2,1.017490234E3
1.737684772E2,1.017513184E3
1.738484584E2,1.017531738E3
1.739284709E2,1.017527344E3
1.740084584E2,1.017519043E3
1.740884584E2,1.017508301E3
1.741684772E2,1.017484863E3
1.742484584E2,1.017491699E3
1.743284584E2,1.017514648E3
1.744084584E2,1.017518555E3
1.744884584E2,1.017516602E3
1.745684788E2,1.017502930E3
1.746484584E2,1.017494629E3
1.747284584E2,1.017490234E3
1.748084631E2,1.017480957E3
1.748884584E2,1.017485840E3
1.749684788E2,1.017504883E3
1.750484584E2,1.017510254E3
1.751284584E2,1.017511719E3
1.752084584E2,1.017507324E3
1.752884584E2,1.017489746E3
1.753684772E2,1.017471680E3
1.754484584E2,1.017488281E3
1.755284600E2,1.017493164E3
1.756084584E2,1.017500488E3
1.756884584E2,1.017490723E3
1.757684788E2,1.017487793E3
1.758484584E2,1.017494629E3
1.759284694E2,1.017499512E3
1.760084584E2,1.017510742E3
1.760884569E2,1.017507812E3
1.761684772E2,1.017515625E3
1.762484584E2,1.017511230E3
1.763284584E2,1.017491699E3
1.764084584E2,1.017481934E3
1.764884584E2,1.017500977E3
1.765684788E2,1.017527344E3
1.766484584E2,1.017524902E3
1.767284584E2,1.017515625E3
1.768084584E2,1.017502930E3
1.768884584E2,1.017485352E3
1.769684772E2,1.017488281E3
1.770484600E2,1.017505859E3
1.771284584E2,1.017522461E3
1.772084584E2,1.017510742E3
1.772884584E2,1.017515137E3
1.773684772E2,1.017506836E3
1.774484584E2,1.017491211E3
1.775284584E2,1.017485352E3
1.776084584E2,1.017500977E3
1.776884584E2,1.017526855E3
1.777684772E2,1.017538086E3
