"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.063088301E2,3.211298740E1,1.189533548E2,1.488931438E1,1.471236360E0,8.068259040E1,4.738615271E0,4.738615271E0
1.073088045E2,3.211298700E1,1.189533700E2,1.510003805E1,1.442608828E0,8.543323933E1,4.735865641E0,4.735865641E0
1.083087780E2,3.211298607E1,1.189533835E2,1.476625942E1,1.349704312E0,8.940736232E1,4.739673917E0,4.739673917E0
1.093087525E2,3.211298607E1,1.189533977E2,1.479045584E1,1.360383711E0,8.842006290E1,4.740476198E0,4.740476198E0
1.103087282E2,3.211298686E1,1.189534130E2,1.479833768E1,1.351291095E0,8.474781050E1,4.740546840E0,4.740546840E0
1.113087023E2,3.211298399E1,1.189534280E2,1.497607029E1,1.326073276E0,8.994522064E1,4.736533026E0,4.736533026E0
1.123086768E2,3.211298797E1,1.189534411E2,1.491980580E1,1.266521445E0,8.001870820E1,4.734438514E0,4.734438514E0
1.133086506E2,3.211299141E1,1.189534591E2,1.484689579E1,1.462623593E0,7.694883533E1,4.734748361E0,4.734748361E0
1.143086257E2,3.211298770E1,1.189534738E2,1.500187503E1,1.459525800E0,8.388623421E1,4.730776256E0,4.730776256E0
1.153085996E2,3.211298831E1,1.189534894E2,1.460225053E1,1.410428154E0,8.170823310E1,4.731670454E0,4.731670454E0
1.163085748E2,3.211298734E1,1.189535106E2,1.476746712E1,1.697747499E0,8.337131190E1,4.731814545E0,4.731814545E0
1.173085488E2,3.211298741E1,1.189535257E2,1.461463882E1,1.495653301E0,7.953876829E1,4.726081587E0,4.726081587E0
1.183085235E2,3.211298843E1,1.189535394E2,1.442695041E1,1.431584574E0,7.940301468E1,4.727444205E0,4.727444205E0
1.193084975E2,3.211299195E1,1.189535528E2,1.413649087E1,1.297042528E0,7.437969962E1,4.732569047E0,4.732569047E0
1.203084718E2,3.211299485E1,1.189535666E2,1.423653813E1,1.295863255E0,7.363454315E1,4.732071371E0,4.732071371E0
1.213084465E2,3.211299619E1,1.189535848E2,1.413964238E1,1.451904055E0,7.976422973E1,4.729964693E0,4.729964693E0
1.223084214E2,3.211299478E1,1.189535937E2,1.454241769E1,9.947114288E-1,8.449917652E1,4.727819809E0,4.727819809E0
1.233083956E2,3.211299590E1,1.189536072E2,1.446240878E1,1.144657987E0,8.459440136E1,4.728698105E0,4.728698105E0
1.243083706E2,3.211299473E1,1.189536235E2,1.449966690E1,1.296692145E0,8.638597794E1,4.727666350E0,4.727666350E0
1.253083453E2,3.211299579E1,1.189536370E2,1.435971020E1,1.284829485E0,8.661651203E1,4.727936614E0,4.727936614E0
1.263083187E2,3.211299901E1,1.189536523E2,1.425896601E1,1.368072541E0,8.173206182E1,4.727796619E0,4.727796619E0
1.273082938E2,3.211300753E1,1.189536684E2,1.409734090E1,1.441469181E0,7.178522601E1,4.723152041E0,4.723152041E0
1.283082678E2,3.211301291E1,1.189536816E2,1.460390046E1,1.427290321E0,6.792205378E1,4.719610376E0,4.719610376E0
1.293082427E2,3.211301148E1,1.189536955E2,1.486306266E1,1.317993730E0,8.198667040E1,4.720862983E0,4.720862983E0
1.303082173E2,3.211301317E1,1.189537027E2,1.454626195E1,7.793336703E-1,8.601031994E1,4.726524450E0,4.726524450E0
1.313081913E2,3.211301448E1,1.189537195E2,1.446977843E1,9.417072049E-1,8.798599233E1,4.725382387E0,4.725382387E0
1.323081667E2,3.211301585E1,1.189537362E2,1.440379310E1,1.210410711E0,8.762650103E1,4.722354089E0,4.722354089E0
1.333130579E2,3.211301518E1,1.189537502E2,1.449206519E1,1.092167870E0,8.927588666E1,4.720377550E0,4.720377550E0
1.343130587E2,3.211302012E1,1.189537678E2,1.428051783E1,1.256720138E0,8.189052652E1,4.723546099E0,4.723546099E0
1.353130578E2,3.211302285E1,1.189537826E2,1.422117258E1,1.198073723E0,7.713320148E1,4.725657036E0,4.725657036E0
1.363130584E2,3.211302598E1,1.189537969E2,1.456436048E1,1.248339696E0,7.588624419E1,4.723335236E0,4.723335236E0
1.373130587E2,3.211303037E1,1.189538127E2,1.474021635E1,1.304504496E0,7.293986081E1,4.723526352E0,4.723526352E0
1.383130574E2,3.211303199E1,1.189538275E2,1.483298597E1,1.344945373E0,7.677790898E1,4.722587931E0,4.722587931E0
1.393130516E2,3.211303343E1,1.189538441E2,1.467798471E1,1.335922139E0,8.125778032E1,4.727241824E0,4.727241824E0
1.403130463E2,3.211303475E1,1.189538641E2,1.502290620E1,1.562069212E0,8.489426158E1,4.727871692E0,4.727871692E0
1.413130404E2,3.211303500E1,1.189538795E2,1.455674984E1,1.460060891E0,9.111701733E1,4.726165732E0,4.726165732E0
1.423130392E2,3.211303786E1,1.189538952E2,1.482819447E1,1.469911184E0,8.566544023E1,4.725706971E0,4.725706971E0
1.433130116E2,3.211304427E1,1.189539106E2,1.485567879E1,1.426628912E0,7.646572185E1,4.725433244E0,4.725433244E0
1.443129829E2,3.211304639E1,1.189539256E2,1.484185108E1,1.333951391E0,7.602160950E1,4.724472234E0,4.724472234E0
1.453129531E2,3.211305079E1,1.189539420E2,1.499270307E1,1.450891454E0,7.441679056E1,4.727411639E0,4.727411639E0
1.463129258E2,3.211305112E1,1.189539587E2,1.521862938E1,1.487770092E0,8.122679002E1,4.722641041E0,4.722641041E0
1.473128979E2,3.211305492E1,1.189539751E2,1.547136997E1,1.472832104E0,8.063786108E1,4.720659631E0,4.720659631E0
1.483128688E2,3.211305585E1,1.189539889E2,1.547262207E1,1.378143742E0,8.380071782E1,4.723976023E0,4.723976023E0
1.493128413E2,3.211305746E1,1.189539970E2,1.569227072E1,9.591699229E-1,8.289677782E1,4.730912141E0,4.730912141E0
