"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.241893630E2,3.211504020E1,1.189501853E2,1.942185213E1,1.498970747E0,1.663282013E2,4.697366238E0,4.697366238E0
1.252015166E2,3.211502633E1,1.189501888E2,1.970828323E1,1.525659919E0,1.602983704E2,4.615059376E0,4.615059376E0
1.261989531E2,3.211501168E1,1.189501954E2,1.989201286E1,1.535897493E0,1.577295685E2,4.508174896E0,4.508174896E0
1.272023479E2,3.211499468E1,1.189502004E2,1.995694106E1,1.575040460E0,1.573973999E2,4.506838799E0,4.506838799E0
1.282027364E2,3.211497805E1,1.189502057E2,1.981681740E1,1.572553039E0,1.640070343E2,4.602267742E0,4.602267742E0
1.292093812E2,3.211496387E1,1.189502093E2,1.969369644E1,1.501387239E0,1.612508545E2,4.627976418E0,4.627976418E0
1.301902479E2,3.211495010E1,1.189502128E2,1.964478337E1,1.468545794E0,1.572898865E2,4.686192513E0,4.686192513E0
1.312042693E2,3.211493736E1,1.189502185E2,1.948287219E1,1.462827802E0,1.571302032E2,4.598290443E0,4.598290443E0
1.321910677E2,3.211492438E1,1.189502240E2,1.948507730E1,1.448084831E0,1.621808777E2,4.492089748E0,4.492089748E0
1.332034474E2,3.211491216E1,1.189502266E2,1.958892493E1,1.428678513E0,1.672901611E2,4.428403378E0,4.428403378E0
1.341927219E2,3.211490149E1,1.189502292E2,1.948665556E1,1.408663988E0,1.664175720E2,4.372975349E0,4.372975349E0
1.352022318E2,3.211489134E1,1.189502323E2,1.933292294E1,1.379919529E0,1.730880737E2,4.266588688E0,4.266588688E0
1.361990885E2,3.211487992E1,1.189502374E2,1.936856625E1,1.397846460E0,1.688353119E2,4.309106350E0,4.309106350E0
1.371903125E2,3.211486671E1,1.189502465E2,1.902764162E1,1.414145231E0,1.691410980E2,4.337857246E0,4.337857246E0
1.382033495E2,3.211485289E1,1.189502606E2,1.867265379E1,1.454860449E0,1.673974762E2,4.249209404E0,4.249209404E0
1.392082854E2,3.211484071E1,1.189502703E2,1.872430148E1,1.485762954E0,1.643578796E2,4.253101349E0,4.253101349E0
