"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.943998438E0,-7.673000097E-1,1.547699928E0,-5.574299812E0
5.963998438E0,-6.047100067E0,-3.882599831E0,-8.849599838E0
5.984000000E0,-7.787600040E0,-7.847999573E0,2.920099974E0
6.013998438E0,-4.667500019E0,4.092599869E0,1.482989979E1
6.033998438E0,-1.659399986E0,7.299999714E0,9.246399879E0
6.053998438E0,-8.700000048E-1,5.819099903E0,5.548799992E0
6.073998438E0,-2.825599909E0,-1.516199946E0,5.214999676E0
6.093998438E0,-3.980399847E0,-9.653999329E0,4.171000004E0
6.113998438E0,-1.045300007E0,-8.739799500E0,1.280999929E-1
6.134000000E0,2.360199928E0,-4.138899803E0,1.474999905E0
6.163998438E0,1.788499951E0,1.572999954E-1,2.918699980E0
6.183998438E0,1.632399917E0,2.788499832E0,2.690099955E0
6.204000000E0,9.502999783E-1,3.730899811E0,6.926000118E-1
6.233998438E0,-4.208999872E-1,2.642299891E0,-3.102999926E-1
6.253998438E0,-3.962999880E-1,1.768499970E0,-8.647999763E-1
6.273998438E0,-2.383999974E-1,1.111099958E0,-6.194999814E-1
6.293998438E0,-9.910000116E-2,1.511799932E0,-8.129999787E-2
6.313998438E0,1.332999915E-1,2.004699945E0,4.592999816E-1
6.333998438E0,1.642999947E-1,2.470299959E0,6.498999596E-1
6.353998438E0,-1.953999996E-1,1.587199926E0,6.456999779E-1
6.373998438E0,-7.674999833E-1,-4.629999772E-2,-3.386999965E-1
6.393998438E0,-8.622999787E-1,-5.446000099E-1,-1.879899979E0
6.414000000E0,6.213999987E-1,-9.153999686E-1,-4.262199879E0
6.434000000E0,3.191299915E0,-3.043299913E0,-7.240999699E0
6.463998438E0,4.548500061E0,-3.907699823E0,-2.973199844E0
6.484000000E0,3.941699982E0,-2.225800037E0,-1.560199976E0
6.504000000E0,3.264199972E0,-2.544600010E0,-3.857699871E0
6.533998438E0,2.263200045E0,-4.989500046E0,-7.221299648E0
6.553998438E0,1.067899942E0,-3.881399870E0,-4.674200058E0
6.573998438E0,-3.252999783E-1,-3.102099895E0,-2.655200005E0
6.593998438E0,-1.758700013E0,-3.156699896E0,-2.244899988E0
6.614000000E0,-1.428300023E0,-4.567999840E0,2.036499977E0
6.634000000E0,-2.073999882E0,-5.084700108E0,2.787199974E0
6.663998438E0,-4.405200005E0,-3.324199915E0,2.934499979E0
6.683998438E0,-5.360899925E0,-2.270799875E0,-2.172999978E-1
6.704000000E0,-4.568200111E0,-1.555400014E0,-2.820000052E-1
6.733998438E0,-3.497399807E0,7.317000031E-1,2.817399979E0
6.753998438E0,-2.242799997E0,1.598599911E0,3.290599823E0
6.774000000E0,-8.582999706E-1,1.928900003E0,4.034800053E0
6.804000000E0,5.648999810E-1,2.123800039E0,6.332299709E0
6.824000000E0,1.032999992E0,1.751999974E0,5.614199638E0
6.844000000E0,-5.059999973E-2,1.866400003E0,5.443299770E0
6.873998438E0,-1.579100013E0,3.436199903E0,5.674599648E0
6.893998438E0,-1.754299998E0,4.130799770E0,5.634599686E0
6.914000000E0,-1.447199941E0,4.608399868E0,5.635999680E0
6.943998438E0,-6.782000065E-1,5.596600056E0,4.402999878E0
6.963998438E0,1.282999963E-1,4.369199753E0,1.932599902E0
6.984000000E0,8.309999853E-2,-3.289999962E-1,-4.208699703E0
7.004000000E0,7.505999804E-1,-5.157799721E0,-1.755229950E1
7.033998438E0,2.235399961E0,-1.022359943E1,-7.442599773E0
7.053998438E0,-3.495000005E-1,-3.045599937E0,-3.130399942E0
7.073998438E0,-1.036499977E0,1.118000031E0,-3.582700014E0
7.093998438E0,-3.099200010E0,-9.407999516E-1,-5.405099869E0
7.114000000E0,-3.576299906E0,-4.895999908E0,-1.592299938E0
7.134000000E0,-1.641699910E0,-2.908599854E0,1.103319931E1
7.163998438E0,-3.145799875E0,5.828899860E0,7.969199657E0
7.183998438E0,-1.873999953E0,6.728600025E0,2.380300045E0
7.204000000E0,-2.177199841E0,1.135299921E0,6.155399799E0
7.233998438E0,-2.577899933E0,-8.148399353E0,5.531499863E0
7.253998438E0,-9.555999637E-1,-6.276199818E0,2.895499945E0
7.273998438E0,5.605999827E-1,-2.334699869E0,-1.040000003E-2
7.293998438E0,1.535599947E0,2.906999886E-1,5.833299637E0
7.313998438E0,1.390599966E0,8.509999514E-1,8.089999855E-2
7.333998438E0,-3.772999942E-1,4.039999843E-1,-1.714999974E-1
7.353998438E0,-1.245999932E-1,-4.406999946E-1,2.266599894E0
7.373998438E0,-2.160999924E-1,1.128199935E0,1.753699899E0
7.393998438E0,-1.958999932E-1,2.568699837E0,4.964999855E-1
7.414010938E0,1.669999957E-2,2.474299908E0,-8.168999553E-1
7.443998438E0,3.999999911E-2,2.026399851E0,-1.298399925E0
7.463998438E0,3.260000050E-1,2.081500053E0,-8.929999918E-2
7.484000000E0,4.887999892E-1,2.206500053E0,7.755999565E-1
7.514003125E0,8.554999828E-1,1.199999928E0,8.078999519E-1
7.543998438E0,1.051200032E0,-1.214900017E0,-1.103999972E0
7.564000000E0,1.456200004E0,-1.945799947E0,-4.138299942E0
7.593998438E0,3.972199917E0,-3.863399982E0,-8.851200104E0
7.614000000E0,4.169099808E0,-3.896299839E0,-4.242000103E0
7.634000000E0,3.009099960E0,-2.647199869E0,-2.035099983E0
7.663998438E0,1.074299932E0,-2.963099957E0,-6.546400070E0
7.683998438E0,1.491500020E0,-4.156599998E0,-8.107199669E0
7.704000000E0,1.989399910E0,-3.744299889E0,-3.736500025E0
7.724000000E0,6.694999933E-1,-3.173799992E0,-1.633799911E0
7.753998438E0,7.799999788E-3,-4.661099911E0,2.566799879E0
7.774000000E0,-5.148000121E-1,-5.472899914E0,3.371899843E0
7.794000000E0,-2.081399918E0,-5.713900089E0,3.026099920E0
7.814000000E0,-3.282500029E0,-4.326200008E0,2.787999868E0
7.834000000E0,-3.806399822E0,-3.530599833E0,8.590000123E-2
7.854000000E0,-3.272499800E0,-2.690199852E0,-2.370999902E-1
7.874000000E0,-2.930199862E0,-4.950999916E-1,2.526199818E0
7.894000000E0,-2.615999937E0,1.396399975E0,3.487399817E0
7.914000000E0,-1.505800009E0,2.736500025E0,4.309099674E0
7.934000000E0,-4.183999896E-1,3.290899992E0,5.929199696E0
7.954000000E0,4.978999794E-1,3.304600000E0,6.334599972E0
7.984000000E0,2.752999961E-1,3.113099813E0,6.008800030E0
8.014000000E0,-1.040300012E0,3.554999828E0,6.216599941E0
8.034000000E0,-1.916999936E0,3.944899797E0,5.837100029E0
8.054000000E0,-2.529099941E0,4.081299782E0,5.347499847E0
8.074000000E0,-2.954200029E0,4.813899994E0,5.039999962E0
8.094000000E0,-2.629799843E0,5.621200085E0,3.675099850E0
8.114000000E0,-1.730499983E0,4.224699974E0,-5.409999937E-2
8.134000000E0,2.721000016E-1,-1.912299991E0,-6.225899696E0
8.154000000E0,2.426100016E0,-7.996099949E0,-1.827739906E1
8.174000000E0,2.106499910E0,-1.028429985E1,-1.424979973E1
8.194000000E0,1.704599977E0,-5.271100044E0,-5.637899876E0
8.214000000E0,2.650300026E0,-7.955999970E-1,-2.876199961E0
8.234000000E0,3.353499889E0,1.770499945E0,-1.859099984E0
8.254000000E0,8.331999779E-1,4.553999901E-1,-1.366199970E0
8.274000000E0,-2.076499939E0,-2.252099991E0,1.117869949E1
8.294000000E0,-5.858999729E0,-4.974199772E0,6.273299694E0
8.314000000E0,-8.886199951E0,-1.074000001E0,-5.628699780E0
8.334000000E0,-5.428899765E0,3.986999989E0,1.102680016E1
8.354000000E0,-4.277699947E0,3.885099888E0,1.173859978E1
8.374000000E0,-3.354599953E0,-2.805199862E0,4.788899899E0
8.394000000E0,-1.777300000E0,-4.954799652E0,2.972199917E0
8.414000000E0,1.402400017E0,-4.189199924E0,-3.703799963E0
8.434000000E0,-1.494999975E-1,-1.427699924E0,3.954599857E0
8.454000000E0,1.082599998E0,-8.154999614E-1,5.614199638E0
8.474000000E0,2.059399843E0,6.450999975E-1,1.015539932E1
8.494000000E0,9.213999510E-1,1.642099977E0,-7.335399628E0
8.514000000E0,9.853000045E-1,-8.083999753E-1,-6.283999681E-1
8.534000000E0,8.919999599E-1,4.961999953E-1,2.179899931E0
8.554000000E0,1.048000008E-1,2.550499916E0,4.029999971E-1
8.574000000E0,-1.846999973E-1,2.846199989E0,-1.337299943E0
8.594000000E0,-2.347999960E-1,3.061899900E0,-1.965699911E0
8.614000000E0,-8.679999411E-2,2.960500002E0,-9.465000033E-1
