"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.769705167E0,2.315684509E-1,2.287393341E0,2.424807587E0
5.789790167E0,-4.061054993E-1,2.213447113E0,2.621648254E0
5.809874167E0,-1.013841705E0,1.697470093E0,3.602259064E0
5.829959167E0,-1.856439514E0,1.397194519E0,4.714296570E0
5.850043167E0,-1.771116943E0,1.127754822E0,6.285429382E0
5.870127167E0,-3.607049103E0,1.197509766E-1,8.550369415E0
5.890212167E0,-5.378315735E0,-7.259902954E-2,9.782157898E0
5.910296167E0,-5.293142853E0,-4.188290405E-1,1.185145477E1
5.930381167E0,-4.423750763E0,-3.532653809E-1,1.434946014E1
5.950465167E0,-3.318598938E0,3.502716064E-2,1.618644012E1
5.970550167E0,-2.774779816E0,2.917433167E-1,1.708068054E1
5.990634167E0,-1.805395660E0,8.684939575E-1,1.587598572E1
6.010719167E0,-1.186881866E0,1.198407898E0,1.448956879E1
6.030803167E0,-6.146218872E-1,8.640032959E-1,1.474568619E1
6.050887167E0,-1.386716309E0,-1.869612122E-1,1.526420792E1
6.070972167E0,-2.475252686E0,-7.119195557E-1,1.529055313E1
6.091056167E0,-2.599045258E0,-1.842668152E-1,1.211176346E1
6.111141167E0,-2.524051208E0,4.373904419E-1,9.083410950E0
6.131225167E0,-2.733615417E0,4.790039062E-1,7.780370636E0
6.151310167E0,-2.583477631E0,1.170565796E-1,7.581284637E0
6.171394167E0,-2.066153412E0,-3.204835510E-1,7.674391022E0
6.191479792E0,-1.513053589E0,-2.341131592E-1,7.504344635E0
6.211563792E0,-2.851570129E-1,3.504212952E-1,6.511758728E0
6.231647792E0,1.005608826E0,9.635462952E-1,5.479056244E0
6.251732792E0,-3.041674805E-1,4.149371338E-1,5.935606842E0
6.271816792E0,-1.271605682E0,3.577560425E-1,6.587201843E0
6.291901792E0,-1.447489929E0,4.059558105E-1,6.495742035E0
6.311985792E0,-5.788462830E-1,3.841012573E-1,6.371650085E0
6.332070792E0,3.011737061E-1,2.496807861E-1,7.328310699E0
6.352154792E0,7.071295166E-1,1.068777466E-1,8.355325012E0
6.372239792E0,6.965016174E-1,-3.561094666E-1,9.419761505E0
6.392323792E0,4.770579529E-1,-6.605763245E-1,1.031534912E1
6.412407792E0,8.964857483E-1,-6.506968689E-1,1.095332245E1
6.432492792E0,1.665137329E0,-7.174580383E-1,1.112471603E1
6.452576792E0,1.932331696E0,-7.467970276E-1,1.098775085E1
6.472661792E0,1.415157166E0,-1.034947815E0,1.077025314E1
6.492745792E0,1.112187195E0,-5.803431702E-1,9.766290894E0
6.512830792E0,1.519190826E0,1.984872437E-1,9.871821442E0
6.532914792E0,2.386936340E0,9.773176575E-1,1.039423508E1
6.552999792E0,3.867058411E0,1.690285034E0,1.046129562E1
6.573083792E0,4.661007385E0,1.244212646E0,1.178663956E1
6.593168792E0,3.621419220E0,2.165995789E-1,1.470946152E1
6.613252792E0,2.313439178E0,-1.122665405E-1,1.570070023E1
6.633336792E0,1.553319855E0,4.754113770E-1,1.402807846E1
6.653421792E0,1.638343048E0,3.403921509E-1,1.227821732E1
6.673505792E0,1.621577911E0,1.989363098E-1,1.124192230E1
6.693590792E0,1.644929352E0,-1.007405090E-1,1.083925964E1
6.713674792E0,1.429976349E0,-2.239343262E-1,1.098894836E1
6.733759792E0,7.643106079E-1,-1.703457642E-1,1.059571609E1
6.753843792E0,1.258882141E-1,-1.660047913E-1,9.034462738E0
6.773928792E0,-3.038681030E-1,-6.242019653E-2,7.214547272E0
6.794012792E0,-5.914201355E-1,1.573228455E-1,5.423072662E0
6.814096792E0,-9.166937256E-1,3.769161987E-1,4.051474915E0
6.834181792E0,-1.165326691E0,5.438191223E-1,3.201242981E0
6.854265792E0,-1.542841644E0,7.042854309E-1,3.014281769E0
6.874350792E0,-1.826352081E0,7.135661316E-1,3.880231018E0
6.894434792E0,-1.731299744E0,6.761439514E-1,5.992787933E0
6.914519792E0,-1.878892822E0,7.330256653E-1,7.855364685E0
6.934603792E0,-2.736309814E0,6.599775696E-1,9.083261261E0
6.954687792E0,-3.510200500E0,6.821315002E-1,9.707014160E0
6.974772792E0,-3.297492828E0,1.003513184E0,9.981243896E0
6.994856792E0,-2.671494598E0,1.494641876E0,1.154638916E1
7.014941792E0,-2.744093628E0,1.156794434E0,1.317290680E1
7.035025792E0,-2.633323975E0,1.074166260E0,1.431578018E1
7.055110792E0,-1.594334564E0,1.103355560E0,1.433913162E1
7.075194792E0,-2.093247070E0,2.081122284E0,1.327140198E1
7.095279792E0,-2.601440277E0,1.448986816E0,1.252490433E1
7.115363792E0,-3.328628082E0,-7.673043823E-1,1.392703857E1
7.135447792E0,-5.330265656E0,-1.951791229E0,1.551388870E1
7.155532792E0,-5.824238434E0,-1.609602814E0,1.361897919E1
7.175616792E0,-5.013674011E0,-1.400038605E0,1.030921188E1
7.195701917E0,-5.570366364E0,-9.340576172E-1,9.558373260E0
7.215785917E0,-4.859794006E0,-1.677860870E0,9.794432373E0
7.235870917E0,-4.101021881E0,-1.768572235E0,9.957443390E0
7.255954917E0,-3.130589905E0,-1.717528381E0,9.800569611E0
7.276038917E0,-2.295177155E0,-1.443298645E0,8.956474915E0
7.296123917E0,-1.704056396E0,-1.091829529E0,8.283324738E0
