"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.854007813E0,6.134136319E-1,2.046879530E0,1.055986595E1
7.876001563E0,1.354399920E0,2.208200932E0,1.207361412E1
7.896001563E0,2.432815313E0,1.276559591E0,1.207396889E1
7.916018750E0,3.150108576E0,4.564689398E-1,1.123936939E1
7.938001563E0,2.545151472E0,1.412483156E-1,1.232398987E1
7.960000000E0,1.241230845E0,6.310158372E-1,1.319285583E1
7.980000000E0,1.096161306E-1,2.282823473E-1,1.305923080E1
8.000001563E0,1.879544109E-1,-1.046773672E0,1.429407310E1
8.022001563E0,1.250740647E0,-2.393100262E0,1.603288651E1
8.044001563E0,1.651903391E0,-2.225247622E0,1.397565460E1
8.064001563E0,9.480081201E-1,-7.379217148E-1,1.123448563E1
8.086001563E0,1.986517012E-1,5.500534773E-1,1.027820206E1
8.108001563E0,6.392518431E-2,1.020858884E0,1.021589565E1
8.130000000E0,5.214380026E-1,4.346433580E-1,1.014905930E1
8.150001563E0,1.026691198E0,-5.352573395E-1,1.023776913E1
8.172001563E0,1.071261644E0,-1.060516477E0,9.665257454E0
8.194001563E0,6.379877329E-1,-8.330194354E-1,8.023247719E0
8.214001563E0,2.913264632E-1,1.131978631E-2,5.945923328E0
8.234001563E0,-1.959223151E-1,8.980842233E-1,4.484473705E0
8.254010938E0,-5.988472700E-1,1.473439574E0,4.896879673E0
8.276000000E0,-9.603238702E-1,1.870762229E0,6.627016068E0
8.296001563E0,-1.308143973E0,2.202541113E0,7.386255741E0
8.316020313E0,-1.418325067E0,2.063323021E0,8.588097572E0
8.338001563E0,-1.027811646E0,1.676285982E0,9.480655670E0
8.360001563E0,-3.326024860E-2,1.431512356E0,8.920067787E0
8.380001563E0,4.665820301E-1,1.440256000E0,8.448055267E0
8.402000000E0,7.716799378E-1,1.599058628E0,8.760871887E0
8.422001563E0,6.351146698E-1,1.738180876E0,9.075020790E0
8.444001563E0,1.945049465E-1,1.791274667E0,9.663581848E0
8.466000000E0,-9.080728143E-2,1.830012798E0,1.113705063E1
