"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.566461562E0,3.325000000E1,3.443750000E1,6.375000000E0
5.596460000E0,3.306250000E1,3.443750000E1,6.937500000E0
5.616460000E0,3.312500000E1,3.412500000E1,6.562500000E0
5.636461562E0,3.331250000E1,3.393750000E1,5.812500000E0
5.656461562E0,3.343750000E1,3.387500000E1,4.500000000E0
5.676461562E0,3.381250000E1,3.350000000E1,2.312500000E0
5.706461562E0,3.412500000E1,3.300000000E1,-1.437500000E0
5.726461562E0,3.393750000E1,3.312500000E1,-2.250000000E0
5.756460000E0,3.331250000E1,3.356250000E1,-1.812500000E0
5.776460000E0,3.325000000E1,3.375000000E1,-1.812500000E0
5.796461562E0,3.243750000E1,3.412500000E1,-1.562500000E0
5.826460000E0,3.118750000E1,3.450000000E1,3.125000000E-1
5.846461562E0,3.068750000E1,3.487500000E1,1.250000000E0
5.866461562E0,2.993750000E1,3.543750000E1,1.000000000E0
5.896460000E0,3.018750000E1,3.525000000E1,-6.875000000E-1
5.916460000E0,3.068750000E1,3.543750000E1,-2.937500000E0
5.936461562E0,3.056250000E1,3.537500000E1,-5.000000000E0
5.966461562E0,3.012500000E1,3.531250000E1,-7.375000000E0
5.996461562E0,2.943750000E1,3.493750000E1,-1.131250000E1
6.016463125E0,2.856250000E1,3.450000000E1,-1.343750000E1
6.046460000E0,2.762500000E1,3.337500000E1,-1.612500000E1
6.066461562E0,2.806250000E1,3.218750000E1,-1.706250000E1
6.086461562E0,2.893750000E1,3.106250000E1,-1.787500000E1
6.116464687E0,3.087500000E1,2.918750000E1,-1.831250000E1
6.146461562E0,3.287500000E1,2.762500000E1,-1.793750000E1
6.166464687E0,3.406250000E1,2.675000000E1,-1.825000000E1
6.196460000E0,3.525000000E1,2.500000000E1,-1.975000000E1
6.216469375E0,3.568750000E1,2.387500000E1,-2.125000000E1
6.246460000E0,3.568750000E1,2.206250000E1,-2.343750000E1
6.266466250E0,3.581250000E1,2.106250000E1,-2.381250000E1
6.296460000E0,3.706250000E1,2.037500000E1,-2.256250000E1
6.316463125E0,3.768750000E1,2.025000000E1,-2.168750000E1
6.346460000E0,3.775000000E1,2.025000000E1,-2.106250000E1
6.366466250E0,3.762500000E1,2.087500000E1,-1.987500000E1
6.396460000E0,3.781250000E1,2.337500000E1,-1.768750000E1
6.416460000E0,3.750000000E1,2.550000000E1,-1.575000000E1
6.436460000E0,3.737500000E1,2.756250000E1,-1.406250000E1
6.456464687E0,3.700000000E1,2.925000000E1,-1.250000000E1
6.486460000E0,3.562500000E1,3.118750000E1,-1.031250000E1
6.506461562E0,3.518750000E1,3.200000000E1,-8.187500000E0
6.536460000E0,3.462500000E1,3.318750000E1,-3.562500000E0
6.556461562E0,3.412500000E1,3.400000000E1,-1.312500000E0
6.586460000E0,3.368750000E1,3.456250000E1,1.062500000E0
6.606467812E0,3.343750000E1,3.475000000E1,3.000000000E0
6.636460000E0,3.306250000E1,3.512500000E1,5.375000000E0
6.656467812E0,3.250000000E1,3.531250000E1,6.750000000E0
6.686460000E0,3.218750000E1,3.525000000E1,7.312500000E0
6.706464687E0,3.250000000E1,3.518750000E1,6.937500000E0
6.736460000E0,3.250000000E1,3.450000000E1,6.125000000E0
6.756460000E0,3.256250000E1,3.443750000E1,4.562500000E0
6.776460000E0,3.306250000E1,3.425000000E1,2.375000000E0
6.796460000E0,3.306250000E1,3.387500000E1,-6.250000000E-1
6.816460000E0,3.275000000E1,3.387500000E1,-3.500000000E0
6.836460000E0,3.250000000E1,3.412500000E1,-4.125000000E0
6.856460000E0,3.200000000E1,3.481250000E1,-3.625000000E0
6.876460000E0,3.193750000E1,3.506250000E1,-3.437500000E0
6.896461562E0,3.156250000E1,3.543750000E1,-3.937500000E0
6.926460000E0,3.068750000E1,3.593750000E1,-3.687500000E0
6.946460000E0,3.081250000E1,3.575000000E1,-3.062500000E0
6.966460000E0,3.081250000E1,3.562500000E1,-2.562500000E0
6.986460000E0,3.081250000E1,3.550000000E1,-2.062500000E0
7.006460000E0,3.087500000E1,3.531250000E1,-2.187500000E0
7.026460000E0,3.087500000E1,3.525000000E1,-2.812500000E0
7.046460000E0,3.056250000E1,3.468750000E1,-4.125000000E0
7.066460000E0,3.087500000E1,3.437500000E1,-5.187500000E0
7.086463125E0,3.093750000E1,3.381250000E1,-6.187500000E0
7.116460000E0,3.162500000E1,3.293750000E1,-8.375000000E0
7.136467812E0,3.187500000E1,3.225000000E1,-1.037500000E1
7.166460000E0,3.212500000E1,3.106250000E1,-1.312500000E1
7.186460000E0,3.243750000E1,3.031250000E1,-1.450000000E1
7.206460000E0,3.287500000E1,2.925000000E1,-1.493750000E1
7.226460000E0,3.412500000E1,2.837500000E1,-1.518750000E1
7.246460000E0,3.531250000E1,2.750000000E1,-1.475000000E1
7.266460000E0,3.631250000E1,2.681250000E1,-1.443750000E1
7.286463125E0,3.712500000E1,2.600000000E1,-1.481250000E1
7.316460000E0,3.737500000E1,2.475000000E1,-1.700000000E1
7.336464687E0,3.737500000E1,2.381250000E1,-1.887500000E1
7.366460000E0,3.768750000E1,2.237500000E1,-2.037500000E1
7.386464687E0,3.887500000E1,2.143750000E1,-1.956250000E1
7.416460000E0,4.031250000E1,2.100000000E1,-1.800000000E1
7.436460000E0,4.006250000E1,2.081250000E1,-1.856250000E1
7.456460000E0,3.968750000E1,2.106250000E1,-1.856250000E1
7.476460000E0,3.987500000E1,2.181250000E1,-1.768750000E1
7.496461562E0,3.993750000E1,2.250000000E1,-1.587500000E1
7.526460000E0,3.956250000E1,2.456250000E1,-1.362500000E1
7.546460000E0,3.900000000E1,2.606250000E1,-1.206250000E1
7.566461562E0,3.812500000E1,2.737500000E1,-1.075000000E1
7.596460000E0,3.712500000E1,2.956250000E1,-8.875000000E0
