"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.750851000E0,-4.497189820E-1,-6.703809500E-1,-6.072000414E-2
5.770851000E0,-2.282017916E-1,-4.853411615E-1,-3.973765671E-1
5.790851000E0,2.202256471E-1,-2.043606043E-1,-6.618637443E-1
5.810851000E0,6.870139241E-1,-2.130872458E-1,-6.556154490E-1
5.830851000E0,9.863553643E-1,-3.841993213E-1,-6.231872439E-1
5.850851000E0,1.128861547E0,-2.517288327E-1,-6.281090975E-1
5.870851000E0,1.116975784E0,3.331833705E-2,-6.321058869E-1
5.890851000E0,1.046185255E0,2.298424095E-1,-6.099402308E-1
5.910851000E0,1.016968489E0,2.964441776E-1,-6.040933728E-1
5.930851000E0,9.777334332E-1,3.234094977E-1,-6.325771213E-1
5.950851000E0,8.327489495E-1,3.734132051E-1,-6.954438686E-1
5.970851000E0,6.644119620E-1,3.665016890E-1,-7.411889434E-1
5.990851000E0,5.227609873E-1,2.969677746E-1,-8.009315729E-1
6.010851000E0,3.800279796E-1,1.732239276E-1,-8.762425184E-1
6.030851000E0,2.881189585E-1,7.525859773E-2,-9.627585411E-1
6.050851000E0,2.707529366E-1,-3.403391922E-3,-1.026236176E0
6.070851000E0,2.943672240E-1,8.534659632E-3,-1.081301332E0
6.090851000E0,3.385415077E-1,1.907644793E-2,-1.081388593E0
6.110851000E0,3.999771178E-1,-2.246238664E-2,-1.001330256E0
6.130851000E0,4.856029451E-1,-2.190388180E-2,-9.027017355E-1
6.150852563E0,4.359134436E-1,-1.140223593E-1,-8.161508441E-1
6.172852563E0,1.562244147E-1,-4.842590392E-1,-7.920827866E-1
6.194851000E0,-9.791296721E-2,-8.136550188E-1,-8.945510387E-1
6.214851000E0,-2.893057764E-1,-8.997521400E-1,-9.417796731E-1
6.234851000E0,-3.614751399E-1,-6.481803656E-1,-7.591134906E-1
6.254851000E0,-2.972644866E-1,-2.986258268E-1,-4.703487754E-1
6.274851000E0,-1.747423708E-1,-9.304349869E-2,-3.345097899E-1
6.294851000E0,-2.900213599E-1,-2.571393549E-1,-5.558175445E-1
6.314851000E0,-4.363497794E-1,-2.595653534E-1,-8.691565394E-1
6.334851000E0,-1.658411920E-1,-1.604481190E-1,-9.107127786E-1
6.354851000E0,4.720068276E-1,-3.549825251E-1,-6.582509279E-1
